scene-num,scene-name,set_left,strike_left,set_right,strike_right
1.0,trauma,stage chair tv-table table blackboard blackboard car car streetlight,,,
2.0,cafe,triangle2 big-circle big-circle small-circle small-circle ,blackboard blackboard car car streetlight ,triangle1 ,stage tv-table table 
3.0,speakeasy,triangle2-flip big-circle-move big-circle-move small-circle-move booth booth stool1 stool2 ,triangle2 big-circle big-circle small-circle small-circle ,triangle1-flip bookshelf bookshelf bar-table bar-table ,triangle1 chair 
4.0,dressing-room,booth-flip booth-flip triangle3 vanity vanity ,triangle2-flip big-circle-move big-circle-move small-circle-move booth booth stool1 stool2 ,wall wall dressing-rack chair1 chair2 ,triangle1-flip bookshelf bookshelf bar-table bar-table 
5.0,dressing-room,,,,
5.5,speakeasy,triangle2-flip big-circle-move big-circle-move small-circle-move booth booth stool1 stool2 ,booth-flip booth-flip triangle3 vanity vanity ,triangle1-flip bookshelf bookshelf bar-table bar-table ,wall wall dressing-rack chair1 chair2 
6.0,brewery,triangle3-flip barrel ,triangle2-flip big-circle-move big-circle-move small-circle-move booth booth stool1 stool2 ,wall-flip wall-flip ,triangle1-flip 
7.0,dressing-room,booth-flip booth-flip triangle3 vanity vanity ,triangle3-flip barrel ,wall wall dressing-rack chair1 chair2 ,bookshelf bookshelf bar-table bar-table wall-flip wall-flip 
8.0,speakeasy,triangle2-flip big-circle-move big-circle-move small-circle-move booth booth stool1 stool2 ,booth-flip booth-flip triangle3 vanity vanity ,triangle1-flip bookshelf bookshelf bar-table bar-table ,wall wall dressing-rack chair1 chair2 
9.0,dressing-room,booth-flip booth-flip triangle3 vanity vanity ,triangle2-flip big-circle-move big-circle-move small-circle-move booth booth stool1 stool2 ,wall wall dressing-rack chair1 chair2 ,triangle1-flip bookshelf bookshelf bar-table bar-table 
10.0,brewery,triangle3-flip barrel ,booth-flip booth-flip triangle3 vanity vanity ,bookshelf bookshelf bar-table bar-table wall-flip wall-flip ,wall wall dressing-rack chair1 chair2 
11.0,speakeasy,triangle2-flip big-circle-move big-circle-move small-circle-move booth booth stool1 stool2 ,triangle3-flip barrel ,triangle1-flip ,wall-flip wall-flip 
12.0,speakeasy,,,,
